binary_stem,sample_id,family,label,pipeline_label_hint,function_name,address,address_hex,address_status,notes,source_file,map_file,binary_path,stripped_binary_path,gt_level
funcptr_variant_04,funcptr_variant_04,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217892,0x080000a4,resolved,Auto-generated function-pointer variant,funcptr_variant_04.c,funcptr_variant_04.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_04.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_04_stripped.elf,L1
funcptr_variant_05,funcptr_variant_05,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217908,0x080000b4,resolved,Auto-generated function-pointer variant,funcptr_variant_05.c,funcptr_variant_05.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_05.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_05_stripped.elf,L1
funcptr_variant_06,funcptr_variant_06,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217828,0x08000064,resolved,Auto-generated function-pointer variant,funcptr_variant_06.c,funcptr_variant_06.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_06.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_06_stripped.elf,L1
funcptr_variant_07,funcptr_variant_07,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217844,0x08000074,resolved,Auto-generated function-pointer variant,funcptr_variant_07.c,funcptr_variant_07.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_07.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_07_stripped.elf,L1
funcptr_variant_08,funcptr_variant_08,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217812,0x08000054,resolved,Auto-generated function-pointer variant,funcptr_variant_08.c,funcptr_variant_08.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_08.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_08_stripped.elf,L1
funcptr_variant_09,funcptr_variant_09,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217876,0x08000094,resolved,Auto-generated function-pointer variant,funcptr_variant_09.c,funcptr_variant_09.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_09.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_09_stripped.elf,L1
funcptr_variant_10,funcptr_variant_10,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217892,0x080000a4,resolved,Auto-generated function-pointer variant,funcptr_variant_10.c,funcptr_variant_10.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_10.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_10_stripped.elf,L1
funcptr_variant_11,funcptr_variant_11,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217908,0x080000b4,resolved,Auto-generated function-pointer variant,funcptr_variant_11.c,funcptr_variant_11.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_11.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_11_stripped.elf,L1
funcptr_variant_12,funcptr_variant_12,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217828,0x08000064,resolved,Auto-generated function-pointer variant,funcptr_variant_12.c,funcptr_variant_12.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_12.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_12_stripped.elf,L1
funcptr_variant_13,funcptr_variant_13,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217844,0x08000074,resolved,Auto-generated function-pointer variant,funcptr_variant_13.c,funcptr_variant_13.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_13.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_13_stripped.elf,L1
funcptr_variant_14,funcptr_variant_14,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217860,0x08000084,resolved,Auto-generated function-pointer variant,funcptr_variant_14.c,funcptr_variant_14.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_14.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_14_stripped.elf,L1
funcptr_variant_15,funcptr_variant_15,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217876,0x08000094,resolved,Auto-generated function-pointer variant,funcptr_variant_15.c,funcptr_variant_15.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_15.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_15_stripped.elf,L1
funcptr_variant_16,funcptr_variant_16,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217892,0x080000a4,resolved,Auto-generated function-pointer variant,funcptr_variant_16.c,funcptr_variant_16.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_16.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_16_stripped.elf,L1
funcptr_variant_17,funcptr_variant_17,func_ptr,FUNC_PTR_SINK,FUNC_PTR_SINK,dispatch_command,134217812,0x08000054,resolved,Auto-generated function-pointer variant,funcptr_variant_17.c,funcptr_variant_17.map,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_17.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/funcptr_variant_17_stripped.elf,L1
loop_variant_00,loop_variant_00,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_00.c,loop_variant_00.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_00.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_00_stripped.elf,L1
loop_variant_01,loop_variant_01,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_01.c,loop_variant_01.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_01.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_01_stripped.elf,L1
loop_variant_02,loop_variant_02,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_02.c,loop_variant_02.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_02.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_02_stripped.elf,L1
loop_variant_03,loop_variant_03,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_03.c,loop_variant_03.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_03.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_03_stripped.elf,L1
loop_variant_04,loop_variant_04,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_04.c,loop_variant_04.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_04.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_04_stripped.elf,L1
loop_variant_05,loop_variant_05,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_05.c,loop_variant_05.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_05.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_05_stripped.elf,L1
loop_variant_06,loop_variant_06,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_06.c,loop_variant_06.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_06.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_06_stripped.elf,L1
loop_variant_07,loop_variant_07,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_07.c,loop_variant_07.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_07.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_07_stripped.elf,L1
loop_variant_08,loop_variant_08,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_08.c,loop_variant_08.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_08.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_08_stripped.elf,L1
loop_variant_09,loop_variant_09,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_09.c,loop_variant_09.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_09.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_09_stripped.elf,L1
loop_variant_10,loop_variant_10,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_10.c,loop_variant_10.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_10.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_10_stripped.elf,L1
loop_variant_11,loop_variant_11,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_11.c,loop_variant_11.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_11.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_11_stripped.elf,L1
loop_variant_12,loop_variant_12,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_12.c,loop_variant_12.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_12.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_12_stripped.elf,L1
loop_variant_13,loop_variant_13,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_13.c,loop_variant_13.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_13.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_13_stripped.elf,L1
loop_variant_14,loop_variant_14,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_14.c,loop_variant_14.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_14.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_14_stripped.elf,L1
loop_variant_15,loop_variant_15,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_15.c,loop_variant_15.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_15.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_15_stripped.elf,L1
loop_variant_16,loop_variant_16,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_16.c,loop_variant_16.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_16.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_16_stripped.elf,L1
loop_variant_17,loop_variant_17,loop_write,LOOP_WRITE_SINK,LOOP_WRITE_SINK,fill_buffer,134217794,0x08000042,resolved,Auto-generated loop-write sink variant,loop_variant_17.c,loop_variant_17.map,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_17.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/loop_variant_17_stripped.elf,L1
memset_variant_00,memset_variant_00,memset,MEMSET_SINK,MEMSET_SINK,clear_buffer,134217794,0x08000042,resolved,Auto-generated memset sink variant,memset_variant_00.c,memset_variant_00.map,/home/a347908610/sourceagent/firmware/microbench_autogen/memset_variant_00.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/memset_variant_00_stripped.elf,L1
memset_variant_01,memset_variant_01,memset,MEMSET_SINK,MEMSET_SINK,clear_buffer,134217794,0x08000042,resolved,Auto-generated memset sink variant,memset_variant_01.c,memset_variant_01.map,/home/a347908610/sourceagent/firmware/microbench_autogen/memset_variant_01.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/memset_variant_01_stripped.elf,L1
memset_variant_02,memset_variant_02,memset,MEMSET_SINK,MEMSET_SINK,clear_buffer,134217794,0x08000042,resolved,Auto-generated memset sink variant,memset_variant_02.c,memset_variant_02.map,/home/a347908610/sourceagent/firmware/microbench_autogen/memset_variant_02.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/memset_variant_02_stripped.elf,L1
memset_variant_03,memset_variant_03,memset,MEMSET_SINK,MEMSET_SINK,clear_buffer,134217794,0x08000042,resolved,Auto-generated memset sink variant,memset_variant_03.c,memset_variant_03.map,/home/a347908610/sourceagent/firmware/microbench_autogen/memset_variant_03.elf,/home/a347908610/sourceagent/firmware/microbench_autogen/memset_variant_03_stripped.elf,L1
